source_id|ra|dec|phot_g_mean_mag|parallax|pmra|pmdec|delta_mu|delta_mu_un|pm_error|F|F_un|Unnamed: 12
2591201534008672256|18.00104236|15.03650984|15.604|35.1|166.116|-316.993|18.2|14.3|5.5|3.3|2.6|
1341396287443528192|257.35889855|39.15741585|12.647|35.1|102.046|-665.381|18.7|25.6|5.8|3.2|4.4|
4241358824189862784|296.05818989|1.79624958|15.506|35.1|-173.095|-433.729|46.5|49.0|7.2|6.5|6.8|
658095646671391360|130.82621104|15.91372087|16.975|35.3|174.574|-151.633|41.7|43.6|7.9|5.3|5.5|
658095646671391232|130.82618531|15.91320931|17.532|35.6|178.857|-149.782|40.1|41.8|7.9|5.1|5.3|
4033926506668450816|180.82503054|38.87769547|17.075|36.5|276.38|-486.875|26.8|30.8|5.5|4.9|5.6|
215350076836032384|83.47296485|50.90401517|16.649|40.3|-154.269|-175.84|23.3|29.2|5.8|4.0|5.0|
3974526181252628480|176.96936826|17.71043763|13.637|40.9|140.237|-149.023|28.0|25.5|8.6|3.3|3.0|
4189472728736232704|299.46479562|-10.88606005|12.836|41.5|-390.525|-287.669|42.8|12.0|6.6|6.4|1.8|
302525062400087936|27.28839785|29.93486831|18.258|42.4|172.759|-436.604|25.5|21.2|6.7|3.8|3.2|
1104317391237838464|96.17795011|66.43966318|18.434|47.6|354.21|-519.494|24.8|27.4|6.9|3.6|4.0|
565169459376414592|3.4357892|80.66451637|14.422|52.0|250.135|193.826|30.2|34.5|7.9|3.8|4.4|
495091536024630656|61.48760165|71.27553441|14.639|54.6|166.66|-378.685|20.1|15.3|6.4|3.1|2.4|
1228555023991501184|215.93391289|14.44520579|14.996|55.0|358.369|-544.221|36.0|41.0|9.8|3.7|4.2|
3181367767472670080|73.01496562|-10.97369053|14.141|59.1|-391.376|-218.224|35.6|41.0|7.1|5.0|5.8|
523359498947960704|15.62486403|63.54342731|14.037|60.2|125.764|298.934|29.2|28.6|6.8|4.3|4.2|
4594186745414679680|263.804744|26.57845253|15.87|64.3|141.579|-289.13|31.7|36.6|6.3|5.0|5.8|
1461125613285603840|197.39399526|28.98419479|12.576|77.9|-338.56|-203.98|25.6|18.7|6.9|3.7|2.7|
4540481374832743040|259.43211388|11.66813765|13.209|80.8|-343.495|-450.857|42.8|44.4|7.4|5.8|6.0|
