source_id,ra,dec,phot_g_mean_mag,parallax,pmra,pmdec,delta_mu,delta_mu_un,pm_error,F,F_un,Unnamed: 12
1341396287443528192,257.35889855,39.15741585,12.647,35.1,102.046,-665.381,18.7,25.6,5.8,3.2,4.4,
3974526181252628480,176.96936826,17.71043763,13.637,40.9,140.237,-149.023,28.0,25.5,8.6,3.3,3.0,
4189472728736232704,299.46479562,-10.88606005,12.836,41.5,-390.525,-287.669,42.8,12.0,6.6,6.4,1.8,
565169459376414592,3.4357892,80.66451637,14.422,52.0,250.135,193.826,30.2,34.5,7.9,3.8,4.4,
495091536024630656,61.48760165,71.27553441,14.639,54.6,166.66,-378.685,20.1,15.3,6.4,3.1,2.4,
1228555023991501184,215.93391289,14.44520579,14.996,55.0,358.369,-544.221,36.0,41.0,9.8,3.7,4.2,
3181367767472670080,73.01496562,-10.97369053,14.141,59.1,-391.376,-218.224,35.6,41.0,7.1,5.0,5.8,
523359498947960704,15.62486403,63.54342731,14.037,60.2,125.764,298.934,29.2,28.6,6.8,4.3,4.2,
1461125613285603840,197.39399526,28.98419479,12.576,77.9,-338.56,-203.98,25.6,18.7,6.9,3.7,2.7,
4540481374832743040,259.43211388,11.66813765,13.209,80.8,-343.495,-450.857,42.8,44.4,7.4,5.8,6.0,
