Name                     | RA(J2000)    Dec(J2000)   | Filter|  Mag. |  Moon  | Total time (sec)
4189472728736232704| 19 57 51.551 -10 53 09.816|800/100| 12.836 |   any  |   100
1341396287443528192| 17 09 26.136 +39 09 26.697|800/100| 12.647 |   any  |   100
3974526181252628480| 11 47 52.648 +17 42 37.575|800/100| 13.637 |   any  |   100
565169459376414592| 00 13 44.589 +80 39 52.259|800/100| 14.422 |   any  |   100
495091536024630656| 04 05 57.024 +71 16 31.924|800/100| 14.639 |   any  |   100
1228555023991501184| 14 23 44.139 +14 26 42.741|800/100| 14.996 |   any  |   100
3181367767472670080| 04 52 03.592 -10 58 25.286|800/100| 14.141 |   any  |   100
523359498947960704| 01 02 29.967 +63 32 36.338|800/100| 14.037 |   any  |   100
1461125613285603840| 13 09 34.559 +28 59 03.101|800/100| 12.576 |   any  |   100
4540481374832743040| 17 17 43.707 +11 40 05.296|800/100| 13.209 |   any  |   100
