                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      4381249619862185600|253.31298104|  0.00349236|         15.813|    33.1| -241.814| -143.115|    25.0|       19.5|     9.8|    2.5|    2.0|
      1107588541411617536| 94.03060533| 71.25460675|         14.210|    33.1|  254.030| -112.394|     1.9|        6.0|     6.8|    0.3|    0.9|
      2256410856215182464|278.82458962| 64.35541920|         17.377|    33.1| -134.032|  113.891|    13.3|       23.9|    19.7|    0.7|    1.2|
      3241886536733197312| 76.69863586|  7.69986432|         14.556|    33.1| -170.252| -205.015|     4.6|        5.2|     6.2|    0.7|    0.8|
      1129856263213078912|170.66319347| 78.69779078|         15.540|    33.1| -357.002|  154.627|     4.2|        6.2|     7.9|    0.5|    0.8|
       768470327583279488|178.95372943| 40.96737218|         15.167|    33.1| -167.318| -146.707|     6.8|       12.7|    12.0|    0.6|    1.1|
       805062929253671936|153.80571560| 40.90971689|         13.186|    33.1| -311.975| -212.837|    13.4|       12.0|     5.9|    2.3|    2.0|
      1166072973641859072|234.46379683| 10.88761687|         13.165|    33.1|  187.664| -184.196|    19.7|       18.5|     7.9|    2.5|    2.3|
      2566627311688927744| 22.40460712|  8.29428593|         14.743|    33.1| -118.701| -286.049|     5.7|        6.0|    13.1|    0.4|    0.5|
      1375977302526807424|235.97512839| 36.73331761|         13.466|    33.2| -201.960|  134.028|     3.7|        2.7|     7.4|    0.5|    0.4|
      4575945229036253184|269.20101074| 20.32013378|         14.138|    33.2| -296.514| -135.311|     3.4|        3.9|     6.0|    0.6|    0.7|
      3679530441335862656|187.85231973| -6.63457549|         14.451|    33.2|  448.815| -226.752|     3.6|        6.2|     7.3|    0.5|    0.9|
      3948760569364949632|187.22039893| 19.38921613|         15.967|    33.2|  126.527| -137.371|     6.1|        3.7|     8.3|    0.7|    0.4|
      1640580891783937664|233.76500987| 62.91473091|         13.011|    33.3| -633.290| -164.607|     7.3|        1.9|     7.4|    1.0|    0.3|
      5186088592338364928| 45.88801370| -3.70547345|         15.001|    33.3|  425.466|  151.494|     5.8|       11.0|     7.0|    0.8|    1.6|
       408560761196368512| 26.79039255| 55.07313756|         14.941|    33.3|  294.276| -348.446|     2.1|        9.6|     7.3|    0.3|    1.3|
       220834234676263936| 54.30368161| 33.97453995|         13.003|    33.3|  390.100| -412.116|     2.2|        3.2|     5.7|    0.4|    0.6|
      3944972030252710400|195.89294811| 23.47780381|         14.405|    33.3| -451.816| -424.187|    37.9|       41.8|    17.7|    2.1|    2.4|
      3145665903366297472|118.47196055|  8.89960821|         16.244|    33.3|  414.720| -233.269|     3.9|        3.1|     7.8|    0.5|    0.4|
      2195815400318293248|313.95660040| 61.74281444|         14.844|    33.3|  218.845|  164.400|     5.3|       10.6|     6.8|    0.8|    1.6|
      1651476364821454592|265.31512945| 72.44360838|         13.308|    33.4| -124.196|  301.464|     5.6|       10.6|     7.0|    0.8|    1.5|
      2683452758602312192|330.72427924|  2.62733225|         16.852|    33.4|  165.101| -195.761|     6.7|        4.3|    12.9|    0.5|    0.3|
      3262596353637434368| 49.84130222| -1.53585752|         13.711|    33.4|  241.577| -361.105|     0.6|        5.8|     7.3|    0.1|    0.8|
       471423551805832064| 69.87658473| 60.44384567|         16.493|    33.4|  131.230| -392.503|     3.1|        1.6|     5.9|    0.5|    0.3|
      1302570367203956736|246.64790282| 25.20881594|         16.591|    33.4|  152.612| -233.134|     5.7|        9.0|     7.0|    0.8|    1.3|
      2804241012928464640| 16.76675873| 24.58947992|         17.942|    33.5| -182.955| -316.887|     2.0|        3.1|     6.2|    0.3|    0.5|
      2285241498500588800|330.19992749| 79.82294875|         12.977|    33.5|  156.386| -170.078|     3.7|        4.6|     6.7|    0.5|    0.7|
      5175025959174855040| 36.00469891|-10.65251409|         14.571|    33.5| -376.380| -344.100|     3.4|        9.3|     5.8|    0.6|    1.6|
      1104287429547439360| 97.16860768| 66.56031328|         14.250|    33.5| -201.694| -140.826|     0.9|        5.6|     6.8|    0.1|    0.8|
       209212907873065344| 80.94734353| 46.38886754|         18.246|    33.5| -144.754| -206.775|     4.2|        4.6|     6.6|    0.6|    0.7|
       941650383986508544| 98.00717329| 34.51917133|         13.707|    33.5| -242.505| -231.718|     2.8|        4.1|     5.5|    0.5|    0.7|
      3633249797899130368|206.57112193| -4.01783375|         15.288|    33.5| -487.896|  181.378|     3.1|        9.0|     9.0|    0.3|    1.0|
      3721431798677998720|206.57774396|  7.22673509|         13.820|    33.5|  110.497| -115.251|     3.4|       10.2|     7.4|    0.5|    1.4|
