                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
       722095297945702144|155.28414870| 22.23894939|         14.993|    20.0| -219.106| -144.141|    12.9|       20.0|     8.0|    1.6|    2.5|
      2796911878868892160|  3.92978240| 17.95561204|         15.175|    20.0| -157.320| -191.296|    12.2|       14.6|    15.4|    0.8|    0.9|
       557011735935864576| 87.53402092| 81.51059309|         16.328|    20.0|  327.966| -480.711|     1.6|        9.6|     6.2|    0.3|    1.5|
      2030879447774285440|300.66755295| 31.16134312|         13.144|    20.0| -141.519| -221.798|     1.6|        5.7|     5.5|    0.3|    1.0|
      1533360774158407680|185.45102674| 40.72166351|         15.273|    20.0| -240.948| -238.776|     1.1|        1.7|     5.9|    0.2|    0.3|
        72113570347336448| 34.06794175| 10.21777456|         15.109|    20.0| -150.236| -372.075|     5.6|        3.4|     8.6|    0.6|    0.4|
      2464274319719777920| 26.97766389| -9.46345337|         15.245|    20.0|  159.922| -116.801|    11.0|        9.7|    16.0|    0.7|    0.6|
       859756009169691776|176.95908120| 61.67821784|         15.282|    20.0| -164.585|  125.912|     5.1|        5.2|     6.3|    0.8|    0.8|
      1292394936843533696|227.88659902| 37.31986715|         13.687|    20.0|  137.181| -115.935|     3.5|        2.4|     6.0|    0.6|    0.4|
      1823074567617787776|299.87827772| 19.63221919|         15.088|    20.0|  118.174|  157.457|     2.6|        7.4|     6.2|    0.4|    1.2|
       551152678989564416| 62.94633104| 75.77812325|         16.781|    20.0|  406.279| -212.009|     7.0|        2.4|     5.9|    1.2|    0.4|
      4356442919556951296|242.73680191| -4.83039155|         15.444|    20.0|  173.926| -138.156|     4.1|        8.5|     8.0|    0.5|    1.1|
       653489998622345856|121.47902289| 13.82317643|         16.125|    20.0|  140.468| -123.350|     5.1|        4.9|     5.8|    0.9|    0.8|
       164084797434486016| 62.46908670| 28.91515003|         15.473|    20.0|  106.026| -204.225|     2.9|        6.2|     6.0|    0.5|    1.0|
        20143916309954432| 39.23784775|  8.60822283|         14.781|    20.0|  452.143|  114.542|     1.7|        7.7|     7.5|    0.2|    1.0|
       204206767007059328| 68.45217446| 42.45100500|         14.517|    20.0|  210.999| -196.657|     2.6|        1.9|     5.8|    0.5|    0.3|
      2694138087479247872|327.61673507|  2.42303049|         15.738|    20.0|  114.859| -193.011|     6.3|        8.1|     8.8|    0.7|    0.9|
       824134821727350272|152.41996552| 50.81065124|         15.303|    20.0| -216.743| -347.588|    11.1|        5.4|     6.2|    1.8|    0.9|
      1040834441710746112|130.29638021| 59.60948033|         14.697|    20.0| -148.896| -168.413|     2.7|        7.4|     9.3|    0.3|    0.8|
      2830105069759726336|343.90149851| 17.92165622|         13.094|    20.0|  162.412| -116.601|     6.1|        6.2|     9.1|    0.7|    0.7|
      4527228170908297344|274.14459095| 20.36538748|         14.199|    20.0|  111.016| -136.175|    14.6|       20.0|     5.9|    2.5|    3.4|
       528133681509788928|  3.67694034| 65.78072696|         15.630|    20.0|  888.068|  367.972|     3.7|        9.6|     6.8|    0.6|    1.4|
      1956425674269527168|332.60789128| 40.13447881|         16.207|    20.0|  181.714| -133.529|     1.2|        5.1|     5.8|    0.2|    0.9|
      1047061182215609600|153.06285737| 59.94469452|         14.614|    20.0| -158.662| -204.857|     1.7|        9.3|    19.1|    0.1|    0.5|
      4501249769162586880|267.54155484| 16.25511607|         14.712|    20.0| -173.730| -127.496|     1.5|        5.5|     5.5|    0.3|    1.0|
      3254217387841562368| 63.67825274| -1.16564969|         13.836|    20.0|  189.447| -487.867|     1.8|        5.6|     6.2|    0.3|    0.9|
      1847834950968711936|319.31030344| 27.23303519|         18.151|    20.0|  205.651|  222.107|     9.1|        7.7|     6.1|    1.5|    1.3|
       837513060738684160|162.93995020| 53.14604946|         15.010|    20.1|  124.634| -103.979|     6.0|        5.5|     6.3|    1.0|    0.9|
      1776715270414488832|335.19187342| 17.48954961|         15.554|    20.1| -239.330| -245.573|     1.8|        7.5|     6.0|    0.3|    1.3|
       630576554254944512|140.37163069| 14.87366263|         13.095|    20.1| -285.128| -213.321|     7.4|        4.0|     6.7|    1.1|    0.6|
      3838818026588320640|141.06071118| -1.71944980|         13.100|    20.1| -192.460| -295.778|     2.3|        3.8|     7.2|    0.3|    0.5|
      1721499243872472832|233.81801194| 82.57670317|         15.444|    20.1| -481.669|  162.064|     3.8|       12.7|     5.9|    0.6|    2.2|
