                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
        18986817760556416| 39.82435829|  7.47081607|         12.860|    50.1|  480.354| -137.598|     6.5|        1.9|    13.7|    0.5|    0.1|
      1575357587146077056|182.87538613| 57.40314953|         15.623|    50.1|  413.831| -369.011|     5.3|        4.9|     7.9|    0.7|    0.6|
      3602406744394215936|179.44156854| -1.81838581|         14.222|    50.2|  396.530| -217.816|     3.1|        6.3|     6.8|    0.5|    0.9|
       419121948343397888|  4.94323571| 52.22031059|         17.353|    50.3|  310.272| -278.853|     3.4|        1.2|     6.0|    0.6|    0.2|
        82512476444934528| 37.60471507| 16.80513028|         15.385|    50.3|  210.575| -421.137|     5.0|        4.5|     5.5|    0.9|    0.8|
      3825820772648802688|146.53607076| -4.42761487|         13.936|    50.3| -551.303|  170.189|    11.3|       14.1|    10.1|    1.1|    1.4|
      2611463952760479232|341.61288825| -6.65972125|         14.159|    50.3|  694.930| -539.746|    15.4|       12.6|     9.2|    1.7|    1.4|
       921952117778154240|121.72910641| 42.29129375|         12.762|    50.4| -224.673| -273.247|     2.2|        7.9|     6.8|    0.3|    1.2|
      1134155113160270720|150.29158375| 81.15484257|         13.545|    50.4| -163.050| -320.699|     4.9|        4.6|     6.1|    0.8|    0.8|
      3677094164086948736|191.80918169| -5.41786240|         13.227|    50.5| -485.384|  563.047|     4.5|       12.2|     7.1|    0.6|    1.7|
      3825820772648802816|146.53607737| -4.42794561|         13.053|    50.5| -554.265|  166.404|     6.7|       10.7|    10.1|    0.7|    1.1|
       997801721262070912| 96.47171829| 56.17135899|         13.213|    50.5|  113.239| -503.656|     6.6|        8.4|     6.6|    1.0|    1.3|
       466652427262218240| 45.01251436| 62.86500046|         14.360|    50.5|  122.139| -278.052|     2.6|        7.6|     6.7|    0.4|    1.1|
      4269411798275964800|286.84113016|  4.73134939|         15.256|    50.7| -249.615| -153.917|     1.7|        2.5|     6.0|    0.3|    0.4|
      3618657732410663808|208.31631314| -9.27753106|         14.549|    50.7|  352.186| -358.577|     3.8|        3.8|    11.7|    0.3|    0.3|
       890661253803216896|105.21711940| 31.95952807|         16.334|    51.0|  353.843| -595.689|     3.8|        9.6|     6.3|    0.6|    1.5|
      3846639574348918528|147.70767598|  1.30218278|         12.623|    51.0|  234.473| -360.655|     4.1|        1.8|    11.1|    0.4|    0.2|
      3198812859478372480| 65.86135866| -7.39715259|         13.176|    51.1| -144.364| -177.544|     3.6|        6.1|     8.1|    0.4|    0.8|
      1015570963037979264|135.21528832| 48.41891999|         12.892|    51.1| -254.249|-1038.909|     6.1|        6.0|     6.5|    0.9|    0.9|
      4366633811793952896|258.01634026| -3.39254535|         15.495|    51.1| -371.410| -181.499|     1.6|        1.6|     5.8|    0.3|    0.3|
      4195469572528982144|297.09252481| -8.38272235|         14.561|    51.1| -428.126| -349.999|     6.2|        5.4|     5.9|    1.0|    0.9|
      5756746775106229120|133.55563844| -8.08696747|         14.977|    51.1|  940.720| -803.095|  2367.8|     2367.5|     5.6|  420.6|  420.6|
       706300980915871616|129.85586200| 29.88883557|         13.320|    51.2|  120.746|  117.715|     5.7|       10.5|    12.6|    0.5|    0.8|
      3270388416449237760| 58.04662050|  2.18151721|         17.731|    51.3|  306.262|  341.307|     9.7|       11.5|    12.3|    0.8|    0.9|
       258996015538087680| 71.58398350| 48.74489866|         15.046|    51.3| 1020.228| -634.672|     1.4|        4.8|     6.1|    0.2|    0.8|
      3862117335108574848|158.13634892|  6.50125028|         13.989|    51.5| -232.200| -193.217|    12.2|       11.1|     9.2|    1.3|    1.2|
       496663940735093632| 68.32482046| 68.77937403|         14.264|    51.7|  182.510| -528.204|     1.7|        4.3|     6.2|    0.3|    0.7|
       496663940735093504| 68.32866442| 68.78020154|         14.412|    51.8|  170.912| -534.234|     1.3|        4.0|     6.2|    0.2|    0.7|
      2537831170877143552| 17.05015498|  0.46413403|         13.279|    51.9| -250.562| -353.040|    13.3|       19.7|    13.2|    1.0|    1.5|
       177700805837431296| 63.44403338| 37.15143739|         18.620|    51.9|  642.019| -240.122|     2.6|        6.5|     8.3|    0.3|    0.8|
      1803225427774999680|303.22032653| 12.77614729|         16.144|    51.9|  272.880|  150.968|     2.0|        7.0|     5.7|    0.4|    1.2|
